Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Suleiman Abdullahi,0,0,0,3,1,0,33.3,2.78,0.93,0.00,0.00,0.3,0.3,0.11,-0.3,-0.3
David Abraham,1,0,0,4,2,0,50.0,0.33,0.17,0.25,0.50,0.8,0.8,0.21,+0.2,+0.2
Amir Abrashi,0,0,0,5,2,0,40.0,0.85,0.34,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
Tyler Adams,0,0,0,3,1,0,33.3,0.67,0.22,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
Sargis Adamyan,5,0,0,20,10,0,50.0,2.42,1.21,0.25,0.50,4.2,4.2,0.21,+0.8,+0.8
Manuel Akanji,0,0,0,8,2,0,25.0,0.42,0.10,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6
Kevin Akpoguma,0,0,0,2,0,0,0.0,0.21,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1
David Alaba,1,0,0,12,6,6,50.0,0.71,0.36,0.08,0.17,0.5,0.5,0.05,+0.5,+0.5
Lucas Alario,6,1,1,31,13,0,41.9,3.83,1.61,0.16,0.38,5.3,4.5,0.15,+0.7,+0.5
Paco Alcácer,5,0,0,15,7,0,46.7,2.56,1.19,0.33,0.71,3.7,3.7,0.25,+1.3,+1.3
Thiago Alcántara,3,0,0,18,8,0,44.4,1.16,0.51,0.17,0.38,2.3,2.3,0.13,+0.7,+0.7
Nadiem Amiri,0,0,0,32,12,0,37.5,2.31,0.87,0.00,0.00,1.9,1.9,0.06,-1.9,-1.9
Ethan Ampadu,0,0,0,1,0,0,0.0,1.15,0.00,0.00,0,0.2,0.2,0.15,-0.2,-0.2
Opoku Ampomah,0,0,0,14,4,0,28.6,2.68,0.76,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6
Sebastian Andersson,8,1,2,44,26,0,59.1,2.17,1.28,0.16,0.27,9.5,8.0,0.18,-1.5,-1.0
Robert Andrich,0,0,0,38,5,2,13.2,1.82,0.24,0.00,0.00,1.4,1.4,0.04,-1.4,-1.4
Angeliño,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Christopher Antwi-Adjei,1,0,0,33,9,0,27.3,1.98,0.54,0.03,0.11,3.4,3.4,0.10,-2.4,-2.4
Charles Aránguiz,1,0,0,10,2,0,20.0,0.68,0.14,0.10,0.50,1.0,1.0,0.10,0.0,0.0
