Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Patrick van Aanholt,2,1,1,17,2,1,11.8,0.94,0.11,0.06,0.50,1.7,0.9,0.05,+0.3,+0.1
Max Aarons,0,0,0,12,2,0,16.7,0.50,0.08,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4
Tammy Abraham,13,0,0,71,29,0,40.8,3.32,1.36,0.18,0.45,11.7,11.7,0.16,+1.3,+1.3
Che Adams,0,0,0,16,2,0,12.5,2.07,0.26,0.00,0.00,1.5,1.5,0.09,-1.5,-1.5
Adrián,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Sergio Agüero,16,2,2,63,23,0,36.5,4.83,1.76,0.22,0.61,11.7,10.1,0.16,+4.3,+3.9
Albian Ajeti,0,0,0,2,0,0,0.0,1.42,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1
Nathan Aké,2,0,0,19,5,0,26.3,0.93,0.25,0.11,0.40,2.2,2.2,0.12,-0.2,-0.2
Marc Albrighton,0,0,0,6,2,0,33.3,1.44,0.48,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
Toby Alderweireld,1,0,0,9,3,0,33.3,0.36,0.12,0.11,0.33,0.7,0.7,0.08,+0.3,+0.3
Trent Alexander-Arnold,2,0,0,30,7,5,23.3,1.18,0.28,0.07,0.29,1.9,1.9,0.06,+0.1,+0.1
Alisson,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Dele Alli,7,0,0,32,16,0,50.0,1.83,0.92,0.22,0.44,5.4,5.4,0.17,+1.6,+1.6
Miguel Almirón,2,0,0,37,9,0,24.3,1.56,0.38,0.05,0.22,4.4,4.4,0.12,-2.4,-2.4
Marcos Alonso,1,0,0,7,3,0,42.9,1.07,0.46,0.14,0.33,0.4,0.4,0.06,+0.6,+0.6
Steven Alzate,0,0,0,13,3,0,23.1,1.00,0.23,0.00,0.00,1.1,1.1,0.09,-1.1,-1.1
Ibrahim Amadou,0,0,0,6,1,0,16.7,0.71,0.12,0.00,0.00,1.0,1.0,0.17,-1.0,-1.0
Felipe Anderson,1,0,0,21,8,0,38.1,1.40,0.53,0.05,0.13,2.4,2.4,0.12,-1.4,-1.4
Florin Andone,1,0,0,1,1,0,100.0,1.27,1.27,1.00,1.00,0.2,0.2,0.15,+0.8,+0.8
Angeliño,0,0,0,5,0,0,0.0,1.07,0.00,0.00,0,0.2,0.2,0.05,-0.2,-0.2
Michail Antonio,1,0,0,28,12,0,42.9,3.76,1.61,0.04,0.08,3.1,3.1,0.11,-2.1,-2.1
Stuart Armstrong,2,0,0,22,9,0,40.9,2.06,0.84,0.09,0.22,1.2,1.2,0.06,+0.8,+0.8
