Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
1,Suleiman Abdullahi,ng NGA,FWD,Union Berlin,22,1996,1.1,0,0,0,3,1,0,33.3,2.78,0.93,0.00,0.00,0.3,0.3,0.11,-0.3,-0.3,0,0.0,0.0,0,11,25,44.0,0,2,0.0,10,20,50.0,1,3,33.3,5,13,0,0,0,0,1,0,0
2,David Abraham,ar ARG,DEF,Eint Frankfurt,33,1986,13.0,1,0,0,6,3,0,50.0,0.46,0.23,0.17,0.33,1.1,1.1,0.18,-0.1,-0.1,0,0.1,-0.1,2,483,586,82.4,5,11,45.5,297,341,87.1,181,234,77.4,76,437,11,0,0,22,48,4,0
3,Amir Abrashi,al ALB,MID,Freiburg,29,1990,5.9,0,0,0,5,2,0,40.0,0.85,0.34,0.00,0.00,0.4,0.4,0.08,-0.4,-0.4,0,0.1,-0.1,3,226,259,87.3,9,16,56.3,197,215,91.6,20,28,71.4,20,224,8,0,0,1,12,4,2
4,Tyler Adams,us USA,DEF,RB Leipzig,20,1999,4.5,0,0,0,3,1,0,33.3,0.67,0.22,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2,0,0.3,-0.3,3,247,302,81.8,6,14,42.9,206,239,86.2,35,49,71.4,25,217,5,1,0,39,13,3,1
5,Sargis Adamyan,am ARM,FWD,Hoffenheim,26,1993,8.3,5,0,0,20,10,0,50.0,2.42,1.21,0.25,0.50,4.2,4.2,0.21,+0.8,+0.8,1,0.6,+0.4,7,140,191,73.3,4,16,25.0,119,150,79.3,17,25,68.0,28,132,0,0,0,6,5,2,1
6,Manuel Akanji,ch SUI,DEF,Dortmund,24,1995,19.1,0,0,0,8,2,0,25.0,0.42,0.10,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6,0,0.5,-0.5,1,1291,1411,91.5,7,18,38.9,884,934,94.6,400,459,87.1,316,1000,32,2,0,26,85,1,0
7,Kevin Akpoguma,de GER,DEF,Hoffenheim,24,1995,9.7,0,0,0,2,0,0,0.0,0.21,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1,0,0.0,0.0,1,487,550,88.5,2,3,66.7,393,419,93.8,92,128,71.9,65,463,10,1,0,4,12,0,0
8,David Alaba,at AUT,DEF,Bayern Munich,27,1992,17.9,1,0,0,14,6,6,42.9,0.78,0.34,0.07,0.17,0.6,0.6,0.04,+0.4,+0.4,1,1.5,-0.5,13,1474,1621,90.9,10,21,47.6,1075,1131,95.0,389,469,82.9,1350,180,25,5,4,50,185,15,5
9,Lucas Alario,ar ARG,FWD,Leverkusen,26,1992,9.1,6,1,1,32,13,0,40.6,3.52,1.43,0.16,0.38,5.3,4.5,0.14,+0.7,+0.5,1,2.2,-1.2,14,175,235,74.5,14,25,56.0,139,180,77.2,22,30,73.3,26,172,3,3,0,1,5,6,0
10,Paco Alcácer,es ESP,FWD,Dortmund,25,1993,5.9,5,0,0,15,7,0,46.7,2.56,1.19,0.33,0.71,3.7,3.7,0.25,+1.3,+1.3,1,1.0,0.0,5,84,112,75.0,4,8,50.0,75,92,81.5,5,12,41.7,15,85,0,0,1,0,2,2,0
