Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
1,Tammy Abraham,eng ENG,FWD,eng Chelsea,21,1997,5.4,2,0,0,20,8,0,40.0,3.70,1.48,0.10,0.25,3.9,3.9,0.20,-1.9,-1.9,Matches,1,0.5,+0.5,6,65,96,67.7,6,10,60.0,51,71,71.8,8,15,53.3,4,70,0,0,0,0,3,1,0
2,Arijan Ademi,mk MKD,MID,hr Dinamo Zagreb,28,1991,5.8,1,0,0,2,1,0,50.0,0.35,0.17,0.50,1.00,0.6,0.6,0.32,+0.4,+0.4,Matches,1,1.1,-0.1,4,145,165,87.9,4,6,66.7,124,138,89.9,17,21,81.0,18,129,5,0,0,0,5,1,0
3,Adrián,es ESP,GK,eng Liverpool,32,1987,2.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,47,60,78.3,0,0,0,18,19,94.7,29,41,70.7,7,41,5,0,0,0,0,0,0
4,Sergio Agüero,ar ARG,FWD,eng Manchester City,31,1988,2.2,2,1,1,9,5,0,55.6,4.13,2.30,0.11,0.20,2.7,1.9,0.21,-0.7,-0.9,Matches,0,0.0,0.0,1,32,50,64.0,0,6,0.0,31,42,73.8,1,2,50.0,6,39,0,1,0,0,2,1,0
5,Manuel Akanji,ch SUI,DEF,de Dortmund,24,1995,5.8,0,0,0,3,0,0,0.0,0.52,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,Matches,0,0.0,0.0,0,342,388,88.1,4,5,80.0,267,289,92.4,71,94,75.5,67,301,12,0,0,2,17,1,0
6,David Alaba,at AUT,DEF,de Bayern Munich,27,1992,3.5,0,0,0,1,0,1,0.0,0.29,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0,Matches,0,1.1,-1.1,4,264,296,89.2,2,6,33.3,194,214,90.7,68,76,89.5,240,39,4,1,0,5,25,1,1
7,Lucas Alario,ar ARG,FWD,de Leverkusen,26,1992,2.4,0,0,0,7,2,0,28.6,2.94,0.84,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,Matches,0,0.1,-0.1,2,40,47,85.1,2,3,66.7,34,39,87.2,4,5,80.0,5,38,0,0,0,0,4,0,0
8,Jordi Alba,es ESP,DEF,es Barcelona,30,1989,1.9,0,0,0,1,0,0,0.0,0.51,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0,Matches,0,0.6,-0.6,3,100,116,86.2,1,2,50.0,87,96,90.6,12,18,66.7,81,17,4,1,0,10,2,2,1
9,Paco Alcácer,es ESP,FWD,de Dortmund,25,1993,1.3,0,0,0,4,0,1,0.0,3.19,0.00,0.00,0,0.6,0.6,0.15,-0.6,-0.6,Matches,1,0.5,+0.5,4,17,24,70.8,0,2,0.0,15,19,78.9,2,3,66.7,2,19,0,0,0,1,3,1,0
10,Thiago Alcántara,es ESP,MID,de Bayern Munich,28,1991,5.5,0,0,0,4,1,0,25.0,0.73,0.18,0.00,0.00,1.5,1.5,0.38,-1.5,-1.5,Matches,2,1.3,+0.7,11,463,506,91.5,4,5,80.0,328,348,94.3,131,153,85.6,16,465,10,4,2,1,62,8,0
