Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,CrdY,CrdR,2CrdY,FoulsCommitted,FoulsDrawn,Offsides,Crosses,SuccessfulTackles,Interceptions,PKwon,PKcon,OG,SuccessfulDribbles,AttemptedDribbles,SuccessfulDribbles%,PlayersDribbledPast,Nutmegs,DribblersTackled,DribblesContested,%DribblersTackled,DribbledPastByOpponent
1,Patrick van Aanholt,nl NED,DEF,Crystal Palace,28,1990,21.0,3,1,1,20,3,3,15.0,0.95,0.14,0.10,0.67,1.8,1.0,0.05,+1.2,+1.0,0,1.8,-1.8,24,935,1186,78.8,9,39,23.1,769,884,87.0,157,263,59.7,755,194,42,0,31,211,67,20,4,0,0,0,3,5,2,67,28,35,0,0,1,11,23,47.8,11,2,40,65,61.5,25
2,Max Aarons,eng ENG,DEF,Norwich City,19,2000,27.0,0,0,0,13,3,0,23.1,0.48,0.11,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,1,3.5,-2.5,20,1005,1277,78.7,24,72,33.3,876,1002,87.4,105,203,51.7,172,828,20,1,0,236,36,11,4,6,0,0,21,38,1,56,24,21,1,0,0,36,75,48.0,41,1,45,66,68.2,21
3,Tammy Abraham,eng ENG,FWD,Chelsea,21,1997,21.6,13,0,0,73,30,0,41.1,3.38,1.39,0.18,0.43,11.8,11.8,0.16,+1.2,+1.2,3,2.2,+0.8,17,250,357,70.0,23,48,47.9,193,263,73.4,34,46,73.9,27,262,0,0,0,0,16,5,0,2,0,0,16,21,20,10,8,4,1,0,1,19,33,57.6,20,0,12,22,54.5,10
4,Che Adams,eng ENG,FWD,Southampton,23,1996,8.1,0,0,0,19,2,0,10.5,2.36,0.25,0.00,0.00,1.9,1.9,0.10,-1.9,-1.9,2,0.9,+1.1,8,118,171,69.0,8,18,44.4,97,126,77.0,13,27,48.1,14,135,0,2,0,0,9,1,0,0,0,0,13,6,7,8,1,2,1,0,0,10,18,55.6,10,1,2,6,33.3,4
5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,227,314,72.3,2,4,50.0,107,108,99.1,118,202,58.4,31,217,27,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1
6,Sergio Agüero,ar ARG,FWD,Manchester City,31,1988,15.6,16,2,3,69,24,0,34.8,4.43,1.54,0.20,0.58,13.3,11.0,0.16,+2.7,+3.0,3,2.5,+0.5,16,271,350,77.4,15,34,44.1,239,294,81.3,17,22,77.3,40,288,1,5,0,1,11,19,0,1,0,0,8,8,6,10,5,3,1,0,0,27,45,60.0,28,2,7,11,63.6,4
7,Albian Ajeti,ch SUI,MID,West Ham,22,1997,1.4,0,0,0,2,0,0,0.0,1.42,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1,0,0.1,-0.1,2,15,18,83.3,1,1,100.0,14,17,82.4,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,,0,0,1,1,100.0,0
8,Nathan Aké,nl NED,DEF,Bournemouth,24,1995,22.4,2,0,0,21,6,0,28.6,0.94,0.27,0.10,0.33,2.3,2.3,0.11,-0.3,-0.3,1,0.6,+0.4,4,853,964,88.5,6,15,40.0,602,651,92.5,245,298,82.2,682,166,26,1,0,20,51,8,0,1,0,0,8,12,3,4,7,29,0,0,0,4,4,100.0,4,0,17,30,56.7,13
9,Marc Albrighton,eng ENG,MID,Leicester City,29,1989,5.3,0,0,0,7,2,0,28.6,1.32,0.38,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,3,1.2,+1.8,10,204,297,68.7,4,20,20.0,159,196,81.1,41,81,50.6,36,240,0,1,2,9,18,10,3,1,0,0,6,8,1,39,6,5,0,1,0,7,19,36.8,9,1,12,27,44.4,15
10,Toby Alderweireld,be BEL,DEF,Tottenham,30,1989,26.9,1,0,0,12,4,0,33.3,0.45,0.15,0.08,0.25,0.8,0.8,0.07,+0.2,+0.2,2,0.9,+1.1,11,1363,1637,83.3,9,22,40.9,851,908,93.7,503,707,71.1,296,1211,65,6,0,9,120,16,0,4,0,0,16,4,1,8,20,23,0,0,1,0,2,0.0,0,0,36,58,62.1,22
11,Trent Alexander-Arnold,eng ENG,DEF,Liverpool,20,1998,28.3,2,0,0,36,8,7,22.2,1.27,0.28,0.06,0.25,2.2,2.2,0.06,-0.2,-0.2,12,8.7,+3.3,73,1803,2539,71.0,28,106,26.4,1258,1475,85.3,517,958,54.0,232,1906,71,4,132,320,156,58,13,4,0,0,20,8,1,308,20,36,0,0,0,22,46,47.8,25,4,46,93,49.5,47
12,Alisson,br BRA,GK,Liverpool,26,1992,19.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,1,0.4,+0.6,1,554,651,85.1,1,1,100.0,281,283,99.3,272,367,74.1,35,493,39,1,0,0,6,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,2,0.0,2
13,Dele Alli,eng ENG,MID,Tottenham,23,1996,19.6,8,1,1,37,18,0,48.6,1.89,0.92,0.19,0.39,7.0,6.2,0.17,+1.0,+0.8,4,2.2,+1.8,21,584,752,77.7,14,51,27.5,465,547,85.0,105,154,68.2,33,656,9,6,4,17,40,21,0,2,0,0,11,32,6,7,28,13,0,0,0,32,63,50.8,36,7,38,62,61.3,24
14,Miguel Almirón,py PAR,FWD,Newcastle Utd,25,1994,26.4,2,0,0,42,12,0,28.6,1.59,0.45,0.05,0.17,5.2,5.2,0.13,-3.2,-3.2,1,0.8,+0.2,15,488,655,74.5,15,45,33.3,404,486,83.1,69,124,55.6,566,49,2,1,1,7,28,15,1,5,0,0,24,50,20,33,25,26,0,0,0,42,85,49.4,50,4,45,72,62.5,27
15,Marcos Alonso,es ESP,DEF,Chelsea,28,1990,9.5,4,0,0,18,6,1,33.3,1.89,0.63,0.22,0.67,1.5,1.5,0.08,+2.5,+2.5,2,1.4,+0.6,16,572,694,82.4,8,25,32.0,478,536,89.2,86,133,64.7,491,55,5,0,1,103,28,13,6,3,0,0,9,8,2,31,12,14,1,0,0,5,9,55.6,5,0,19,36,52.8,17
16,Steven Alzate,co COL,MID,Brighton,20,1998,13.1,0,0,0,13,3,0,23.1,0.99,0.23,0.00,0.00,1.0,1.0,0.08,-1.0,-1.0,0,0.7,-0.7,13,564,664,84.9,11,28,39.3,492,553,89.0,61,83,73.5,30,540,5,1,0,50,33,12,0,1,0,0,17,18,3,9,23,13,0,0,0,33,50,66.0,35,4,28,40,70.0,12
17,Ibrahim Amadou,fr FRA,DEF,Norwich City,26,1993,8.4,0,0,0,6,1,0,16.7,0.71,0.12,0.00,0.00,1.0,1.0,0.17,-1.0,-1.0,0,0.1,-0.1,1,310,361,85.9,2,6,33.3,219,244,89.8,89,111,80.2,23,314,4,0,0,2,14,0,0,1,0,0,8,2,0,1,7,17,0,1,0,2,3,66.7,2,0,21,29,72.4,8
18,Felipe Anderson,br BRA,MID,West Ham,26,1993,15.7,1,0,0,22,8,0,36.4,1.40,0.51,0.05,0.13,2.5,2.5,0.11,-1.5,-1.5,4,2.9,+1.1,25,692,893,77.5,20,58,34.5,570,690,82.6,102,145,70.3,118,716,9,3,5,12,44,31,6,1,0,0,16,22,2,35,30,21,0,0,0,65,96,67.7,69,5,44,78,56.4,34
