Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4,6,66.7,0,0,0,2,2,100.0,2,4,50.0,2,2,0,0,0,0,0,0,0
2,Aritz Aduriz,es ESP,FWD,Athletic Bilbao,38,1981,2.1,1,0,1,6,3,0,50.0,2.80,1.40,0.17,0.33,1.3,0.6,0.09,-0.3,+0.4,0,0.0,0.0,0,32,56,57.1,0,1,0.0,31,47,66.0,1,8,12.5,3,25,0,0,0,0,3,0,0
3,Lumor Agbenyenu,gh GHA,DEF,Mallorca,22,1996,15.9,0,0,0,10,1,0,10.0,0.63,0.06,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2,0,1.1,-1.1,12,568,773,73.5,10,43,23.3,475,577,82.3,83,153,54.2,515,48,9,1,0,173,40,18,10
4,Martin Agirregabiria,es ESP,DEF,Alavés,23,1996,17.0,0,0,0,2,0,0,0.0,0.12,0.00,0.00,0,0.0,0.0,0.01,0.0,0.0,1,0.5,+0.5,8,536,744,72.0,8,36,22.2,450,541,83.2,78,167,46.7,32,492,5,1,1,168,25,5,1
5,Joseph Aidoo,gh GHA,DEF,Celta Vigo,23,1995,19.9,0,0,0,10,1,0,10.0,0.50,0.05,0.00,0.00,0.9,0.9,0.09,-0.9,-0.9,1,0.9,+0.1,1,782,879,89.0,4,15,26.7,491,532,92.3,287,332,86.4,167,653,21,1,0,6,37,0,0
6,Jordi Alba,es ESP,DEF,Barcelona,30,1989,13.3,1,0,0,4,1,0,25.0,0.30,0.08,0.25,1.00,0.5,0.5,0.13,+0.5,+0.5,1,1.8,-0.8,15,1031,1186,86.9,22,52,42.3,893,976,91.5,116,158,73.4,872,178,15,1,1,103,80,17,8
7,Raúl Albiol,es ESP,DEF,Villarreal,33,1985,24.0,1,0,0,11,3,0,27.3,0.46,0.13,0.09,0.33,1.2,1.2,0.11,-0.2,-0.2,0,0.3,-0.3,4,1039,1209,85.9,3,10,30.0,500,549,91.1,536,650,82.5,134,982,32,1,0,1,64,5,1
8,Paco Alcácer,es ESP,FWD,Villarreal,25,1993,3.5,2,0,0,7,2,0,28.6,1.99,0.57,0.29,1.00,1.2,1.2,0.17,+0.8,+0.8,1,0.1,+0.9,1,65,88,73.9,2,6,33.3,59,72,81.9,4,10,40.0,17,62,0,0,0,0,1,0,0
9,Rubén Alcaraz,es ESP,MID,Valladolid,28,1991,12.0,1,0,0,20,5,6,25.0,1.67,0.42,0.05,0.20,0.8,0.8,0.04,+0.2,+0.2,1,0.4,+0.6,8,544,675,80.6,9,22,40.9,363,407,89.2,172,246,69.9,84,544,62,2,10,4,62,3,0
10,Álex Alegría,es ESP,FWD,Mallorca,26,1992,1.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,23,35,65.7,2,3,66.7,18,28,64.3,3,4,75.0,2,18,0,0,0,0,1,0,0
