Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
1,Francesco Acerbi,it ITA,DEF,Lazio,31,1988,23.5,2,0,0,12,6,0,50.0,0.51,0.26,0.17,0.33,1.5,1.5,0.13,+0.5,+0.5,Matches,2,1.2,+0.8,6,1193,1310,91.1,10,21,47.6,751,792,94.8,432,497,86.9,1019,213,43,2,0,9,81,9,2
2,Bobby Adekanye,nl NED,FWD,Lazio,20,1999,0.9,1,0,0,2,2,0,100.0,2.34,2.34,0.50,0.50,1.0,1.0,0.52,0.0,0.0,Matches,0,0.0,0.0,0,15,17,88.2,0,0,0,13,15,86.7,2,2,100.0,17,0,0,0,0,0,1,0,0
3,Claud Adjapong,it ITA,DEF,Hellas Verona,21,1998,0.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lucien Agoume,fr FRA,MID,Inter,17,2002,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,1,2,50.0,0,0,0,0,1,0.0,1,1,100.0,0,2,0,0,0,0,0,0,0
5,Kevin Agudelo,co COL,DEF,Fiorentina,20,1998,0.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,0,1,0.0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kevin Agudelo,co COL,MID,Genoa,20,1998,7.4,1,0,0,10,2,0,20.0,1.35,0.27,0.10,0.50,1.0,1.0,0.10,0.0,0.0,Matches,1,1.4,-0.4,11,245,301,81.4,9,22,40.9,202,230,87.8,34,49,69.4,241,38,1,1,4,1,20,4,0
7,Emmanuel Agyemang-Badu,gh GHA,FWD,Hellas Verona,28,1990,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,7,8,87.5,1,1,100.0,4,5,80.0,2,2,100.0,1,6,0,0,0,0,0,0,0
8,Ola Aina,ng NGA,DEF,Torino,22,1996,16.2,0,0,0,8,2,0,25.0,0.49,0.12,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches,1,1.3,-0.3,16,615,842,73.0,11,36,30.6,484,566,85.5,120,240,50.0,175,455,9,2,4,170,46,13,4
9,Luis Alberto,es ESP,MID,Lazio,26,1992,23.2,3,1,1,69,20,8,29.0,2.97,0.86,0.03,0.10,5.1,4.3,0.06,-2.1,-2.3,Matches,11,7.3,+3.7,70,1262,1554,81.2,32,63,50.8,971,1086,89.4,259,405,64.0,60,1445,42,10,99,15,163,62,4
10,Enrico Alfonso,it ITA,GK,Brescia,31,1988,3.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,53,75,70.7,0,0,0,24,24,100.0,29,51,56.9,4,60,13,0,0,0,0,0,0
11,Allan,br BRA,MID,Napoli,28,1991,12.0,1,0,0,10,5,0,50.0,0.83,0.42,0.10,0.20,0.5,0.5,0.05,+0.5,+0.5,Matches,1,1.2,-0.2,14,622,715,87.0,10,28,35.7,471,508,92.7,141,179,78.8,63,618,17,3,0,15,69,6,1
12,Bruno Alves,pt POR,DEF,Parma,37,1981,19.1,0,0,0,14,1,7,7.1,0.73,0.05,0.00,0.00,0.7,0.7,0.05,-0.7,-0.7,Matches,0,0.2,-0.2,5,701,844,83.1,5,11,45.5,313,360,86.9,383,473,81.0,126,628,57,0,0,2,46,5,1
13,Sofyan Amrabat,ma MAR,MID,Hellas Verona,22,1996,20.7,0,0,0,15,5,0,33.3,0.72,0.24,0.00,0.00,1.2,1.2,0.08,-1.2,-1.2,Matches,0,1.1,-1.1,17,881,1022,86.2,16,30,53.3,622,700,88.9,243,292,83.2,88,859,47,3,0,7,72,18,5
14,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,0.9,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,19,32,59.4,0,0,0,3,3,100.0,16,29,55.2,1,23,5,0,0,0,0,0,0
15,Peter Ankersen,dk DEN,DEF,Genoa,28,1990,9.4,0,0,0,13,3,0,23.1,1.39,0.32,0.00,0.00,0.7,0.7,0.06,-0.7,-0.7,Matches,1,0.8,+0.2,8,446,539,82.7,6,19,31.6,380,420,90.5,60,100,60.0,62,395,7,0,0,60,16,8,2
16,Cristian Ansaldi,ar ARG,DEF,Torino,32,1986,12.1,4,0,0,26,7,1,26.9,2.16,0.58,0.15,0.57,1.3,1.3,0.05,+2.7,+2.7,Matches,2,1.7,+0.3,16,356,497,71.6,4,27,14.8,250,287,87.1,102,183,55.7,177,218,12,0,7,86,30,27,20
17,Mirko Antonucci,it ITA,FWD,Roma,20,1999,0.9,0,0,0,3,0,0,0.0,3.33,0.00,0.00,0,0.2,0.2,0.05,-0.2,-0.2,Matches,0,0.0,0.0,0,17,22,77.3,0,0,0,17,21,81.0,0,1,0.0,3,18,0,0,0,0,2,0,0
18,Guilherme Arana,br BRA,DEF,Atalanta,22,1997,0.8,0,0,0,1,0,0,0.0,1.18,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0,Matches,0,0.0,0.0,1,42,54,77.8,0,1,0.0,36,44,81.8,6,9,66.7,38,8,2,0,0,8,2,3,1
19,Kwadwo Asamoah,gh GHA,DEF,Inter,30,1988,7.1,0,0,0,3,0,0,0.0,0.42,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,Matches,1,0.7,+0.3,11,296,372,79.6,7,22,31.8,248,280,88.6,41,70,58.6,277,42,1,0,0,41,17,3,2
20,Emil Audero,it ITA,GK,Sampdoria,22,1997,24.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,407,661,61.6,3,3,100.0,191,194,98.5,213,464,45.9,60,469,73,0,0,0,7,0,0
21,Tommaso Augello,it ITA,DEF,Sampdoria,24,1994,2.6,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.6,-0.6,8,121,159,76.1,3,7,42.9,97,111,87.4,21,41,51.2,131,6,1,0,0,18,10,9,5
