Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Antonio Adán,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Aritz Aduriz,1,0,1,6,3,0,50.0,2.95,1.48,0.17,0.33,1.3,0.6,0.09,-0.3,+0.4
Lumor Agbenyenu,0,0,0,10,1,0,10.0,0.63,0.06,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2
Martin Agirregabiria,0,0,0,2,0,0,0.0,0.12,0.00,0.00,0,0.0,0.0,0.01,0.0,0.0
Joseph Aidoo,0,0,0,10,1,0,10.0,0.51,0.05,0.00,0.00,0.9,0.9,0.09,-0.9,-0.9
Jordi Alba,1,0,0,4,1,0,25.0,0.30,0.08,0.25,1.00,0.5,0.5,0.13,+0.5,+0.5
Raúl Albiol,1,0,0,11,3,0,27.3,0.48,0.13,0.09,0.33,1.2,1.2,0.11,-0.2,-0.2
Paco Alcácer,1,0,0,4,1,0,25.0,1.59,0.40,0.25,1.00,1.0,1.0,0.24,0.0,0.0
Rubén Alcaraz,1,0,0,16,5,4,31.3,1.45,0.45,0.06,0.20,0.7,0.7,0.04,+0.3,+0.3
Álex Alegría,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Carles Aleñá,0,0,0,5,2,0,40.0,1.12,0.45,0.00,0.00,0.6,0.6,0.12,-0.6,-0.6
Carles Aleñá,0,0,0,1,1,0,100.0,0.53,0.53,0.00,0.00,0.0,0.0,0.04,0.0,0.0
Sergio Álvarez,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Sergio Álvarez,0,0,0,2,0,0,0.0,0.28,0.00,0.00,0,0.2,0.2,0.09,-0.2,-0.2
Yeray Álvarez,0,0,0,10,1,0,10.0,0.45,0.05,0.00,0.00,1.1,1.1,0.11,-1.1,-1.1
Amath,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Miguel Ángel Guerrero,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Miguel Ángel Moyá,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
José Ángel,1,0,0,14,3,3,21.4,0.85,0.18,0.07,0.33,0.3,0.3,0.02,+0.7,+0.7
Antoñito,0,0,0,1,0,0,0.0,0.17,0.00,0.00,0,0.1,0.1,0.09,-0.1,-0.1
Vitorino Antunes,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Anuar,0,0,0,1,0,0,0.0,0.50,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0
Mauro Arambarri,1,0,0,25,4,3,16.0,1.14,0.18,0.04,0.25,1.0,1.0,0.04,0.0,0.0
Néstor Araujo,1,0,0,9,3,0,33.3,0.43,0.14,0.11,0.33,0.6,0.6,0.07,+0.4,+0.4
Ronald Araújo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Anaitz Arbilla,1,0,0,11,1,3,9.1,0.72,0.07,0.09,1.00,0.6,0.6,0.06,+0.4,+0.4
Alphonse Areola,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Santiago Arias,0,0,0,3,1,0,33.3,0.49,0.16,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
José Arnaiz,0,0,0,3,1,0,33.3,3.18,1.06,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
José Arnaiz,0,0,0,11,5,0,45.5,3.02,1.37,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6
Sergio Asenjo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Iago Aspas,8,2,3,61,24,8,39.3,2.54,1.00,0.10,0.25,9.1,6.8,0.11,-1.1,-0.8
Roger Assalé,0,0,0,3,1,0,33.3,6.92,2.31,0.00,0.00,0.4,0.4,0.13,-0.4,-0.4
Miguel Atienza,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Ezequiel Ávila,9,0,0,68,27,0,39.7,3.84,1.53,0.13,0.33,7.0,7.0,0.10,+2.0,+2.0
Javier Avilés,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Chidozie Awaziem,0,0,0,5,0,0,0.0,0.36,0.00,0.00,0,0.4,0.4,0.08,-0.4,-0.4
Ramon Azeez,2,0,0,16,2,0,12.5,1.70,0.21,0.13,1.00,1.7,1.7,0.10,+0.3,+0.3
Iddrisu Baba,0,0,0,6,1,0,16.7,0.29,0.05,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4
Carlos Bacca,1,0,0,11,4,0,36.4,2.36,0.86,0.09,0.25,1.5,1.5,0.14,-0.5,-0.5
Gareth Bale,2,0,0,31,12,3,38.7,2.82,1.09,0.06,0.17,3.5,3.5,0.11,-1.5,-1.5
Mikel Balenziaga,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Éver Banega,2,2,2,26,5,2,19.2,1.32,0.25,0.00,0.00,2.6,1.0,0.04,-0.6,-1.0
Federico Barba,0,0,0,1,1,0,100.0,0.20,0.20,0.00,0.00,0.0,0.0,0.04,0.0,0.0
Enis Bardhi,2,0,0,29,10,9,34.5,2.22,0.77,0.07,0.20,1.8,1.8,0.06,+0.2,+0.2
Antonio Barragán,0,0,0,1,0,0,0.0,0.22,0.00,0.00,0,0.0,0.0,0.05,0.0,0.0
Ander Barrenetxea,1,0,0,2,1,0,50.0,1.33,0.67,0.50,1.00,0.2,0.2,0.10,+0.8,+0.8
Marc Bartra,2,0,0,15,4,0,26.7,0.75,0.20,0.13,0.50,1.2,1.2,0.08,+0.8,+0.8
Gil Bastião Dias,0,0,0,2,1,0,50.0,2.14,1.07,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
Fran Beltrán,0,0,0,9,2,0,22.2,0.70,0.16,0.00,0.00,1.0,1.0,0.11,-1.0,-1.0
Hatem Ben Arfa,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Karim Benzema,13,2,2,85,36,1,42.4,3.92,1.66,0.13,0.31,11.3,9.8,0.11,+1.7,+1.2
Yuri Berchiche,2,0,0,25,8,0,32.0,1.19,0.38,0.08,0.25,1.1,1.1,0.04,+0.9,+0.9
Markel Bergara,0,0,0,1,0,0,0.0,1.29,0.00,0.00,0,0.2,0.2,0.23,-0.2,-0.2
Sergio Bermejo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Pedro Bigas,0,0,0,3,1,0,33.3,0.35,0.12,0.00,0.00,0.7,0.7,0.23,-0.7,-0.7
Rubén Blanco,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Pablo de Blasis,0,0,0,3,0,1,0.0,0.28,0.00,0.00,0,0.1,0.1,0.05,-0.1,-0.1
Filip Bradarić,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Martin Braithwaite,6,0,1,40,16,1,40.0,1.86,0.74,0.15,0.38,6.5,5.8,0.14,-0.5,+0.2
Brandon,0,0,0,9,2,0,22.2,1.99,0.44,0.00,0.00,0.9,0.9,0.10,-0.9,-0.9
Darko Brašanac,0,0,0,15,6,0,40.0,0.96,0.38,0.00,0.00,1.5,1.5,0.10,-1.5,-1.5
Yan Brice Eteki,0,0,0,5,0,0,0.0,0.59,0.00,0.00,0,0.3,0.3,0.05,-0.3,-0.3
Bryan,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Bryan,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Ante Budimir,8,0,0,39,12,0,30.8,1.85,0.57,0.21,0.67,6.5,6.5,0.17,+1.5,+1.5
Esteban Burgos,1,0,0,2,1,0,50.0,0.42,0.21,0.50,1.00,0.8,0.8,0.39,+0.2,+0.2
Burgui,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Oliver Burke,1,0,0,13,3,0,23.1,1.55,0.36,0.08,0.33,2.6,2.6,0.20,-1.6,-1.6
Sergio Busquets,2,0,0,7,3,0,42.9,0.40,0.17,0.29,0.67,0.5,0.5,0.07,+1.5,+1.5
Unai Bustinza,0,0,0,7,3,0,42.9,0.35,0.15,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4
Erick Cabaco,0,0,0,4,0,0,0.0,0.45,0.00,0.00,0,0.3,0.3,0.06,-0.3,-0.3
Ariday Cabrera,0,0,0,1,1,0,100.0,2.57,2.57,0.00,0.00,0.0,0.0,0.04,0.0,0.0
Leandro Cabrera,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
